ID,Date,Element,Data_Value
USC00362629,08/16/08,TMIN,117
USC00368469,03/14/13,TMIN,-39
USC00367477,09/27/13,TMIN,50
USC00365790,06/09/08,TMIN,183
USC00362629,08/16/08,TMAX,250
USC00360147,06/03/05,TMAX,272
USC00360147,04/22/14,TMAX,244
USC00360147,08/10/15,TMIN,167
USC00361480,09/07/13,TMIN,-6
USC00367409,04/15/14,TMIN,111
USC00360147,08/10/15,TMAX,289
USC00368449,01/05/09,TMIN,-72
USC00365790,06/23/08,TMAX,278
USC00367477,05/24/05,TMIN,78
USC00365109,01/10/08,TMAX,128
USC00361480,09/07/13,TMAX,222
USC00361480,09/26/12,TMIN,-22
USC00361480,09/26/10,TMAX,233
USC00367409,04/05/11,TMIN,50
USC00368449,11/02/11,TMAX,111
USC00365109,01/10/08,TMIN,-28
USC00360147,12/11/07,TMAX,28
USC00361480,09/26/12,TMAX,183
USC00360147,04/10/05,TMAX,189
USC00367409,04/05/11,TMAX,156
USC00367477,07/01/14,TMAX,294
USC00368469,01/02/12,TMAX,89
USC00361480,09/26/10,TMIN,50
USC00367477,04/22/14,TMAX,250
USC00367477,04/22/14,TMIN,17
USC00365790,08/09/11,TMAX,300
USC00360147,06/03/05,TMIN,106
USC00360147,12/11/07,TMIN,6
USC00368449,01/05/09,TMAX,39
USC00368469,03/14/13,TMAX,39
USC00365109,01/11/12,TMIN,-67
USC00367477,01/01/12,TMIN,17
USC00360147,03/30/14,TMIN,-6
USC00365790,12/22/05,TMAX,-28
USC00361480,02/27/13,TMIN,-61
USC00361480,02/27/13,TMAX,28
USC00361480,12/30/08,TMAX,50
USC00365790,06/23/08,TMIN,139
USC00365109,09/12/15,TMIN,122
USC00365109,09/30/13,TMIN,72
USC00360147,04/16/06,TMAX,228
USC00368449,02/23/11,TMAX,-17
USC00365109,04/07/08,TMAX,172
USC00367477,10/30/10,TMAX,67
USC00368469,02/20/15,TMAX,-117
USC00368469,02/20/15,TMIN,-239
USC00368449,08/09/13,TMIN,189
USC00368469,06/24/14,TMIN,122
USC00368449,12/24/05,TMIN,28
USC00368469,06/24/14,TMAX,267
USC00361480,06/23/08,TMIN,33
USC00365790,03/05/15,TMAX,33
USC00368449,07/07/15,TMIN,194
USC00368449,08/09/13,TMAX,272
USC00367409,10/16/14,TMIN,144
USC00367409,12/13/05,TMIN,-167
USC00365109,12/06/05,TMAX,6
USC00368449,07/07/15,TMAX,256
USC00360147,04/22/14,TMIN,22
USC00365790,11/05/08,TMAX,139
USC00365109,12/06/05,TMIN,-89
USC00368469,06/20/05,TMAX,222
USC00368469,06/20/05,TMIN,111
USC00367477,09/06/13,TMIN,39
USC00364853,12/10/05,TMAX,6
USC00365790,11/05/08,TMIN,72
USC00361480,06/23/08,TMAX,261
USC00360147,12/30/08,TMIN,-17
USC00360147,12/30/08,TMAX,61
USC00368469,12/06/09,TMIN,-39
USC00365109,04/07/08,TMIN,33
USC00365109,05/08/08,TMIN,78
USC00368449,02/23/11,TMIN,-139
USC00361480,04/30/14,TMIN,50
USC00365109,05/08/08,TMAX,272
USC00365109,09/06/13,TMAX,256
USC00365109,09/06/13,TMIN,61
USC00368449,12/27/10,TMIN,-89
USC00361480,01/07/12,TMIN,-33
USC00367477,09/06/13,TMAX,211
USC00368449,12/27/10,TMAX,-28
USC00361480,04/30/14,TMAX,89
USC00368449,08/02/07,TMAX,317
USC00368469,11/10/05,TMIN,72
USC00368469,11/29/10,TMIN,-56
USC00361480,10/09/15,TMIN,44
USC00368469,11/29/10,TMAX,56
USC00362629,03/03/08,TMAX,56
USC00365790,06/23/14,TMAX,261
USC00368449,08/02/07,TMIN,200
USC00365790,04/01/07,TMAX,139
USC00368469,07/01/08,TMIN,150
USC00368469,07/01/08,TMAX,244
USC00367409,01/05/09,TMAX,28
USC00360147,02/22/07,TMAX,106
USC00367409,01/05/09,TMIN,-100
USC00365790,06/23/14,TMIN,122
USC00367409,03/06/05,TMAX,72
USC00362629,03/03/08,TMIN,-67
USC00360147,01/10/07,TMAX,22
USC00365790,03/05/15,TMIN,-67
USC00368449,12/24/05,TMAX,89
USC00360147,04/05/08,TMIN,39
USC00360147,09/12/15,TMIN,117
USC00360147,09/12/15,TMAX,256
USC00365790,07/12/06,TMIN,194
USC00367409,07/04/11,TMAX,306
USC00365109,07/12/06,TMIN,189
USC00367409,04/18/10,TMIN,33
USC00367409,03/06/05,TMIN,-106
USC00368449,12/19/14,TMIN,-17
USC00365109,12/26/07,TMIN,-50
USC00367409,07/04/11,TMIN,156
USC00361480,10/09/15,TMAX,222
USC00365790,02/27/13,TMIN,-6
USC00368449,12/19/14,TMAX,-6
USC00365790,07/12/06,TMAX,311
USC00367409,12/13/05,TMAX,0
USC00360147,09/16/09,TMAX,256
USC00365790,02/27/13,TMAX,28
USC00365790,04/20/11,TMAX,111
USC00367409,10/16/14,TMAX,178
USC00365790,04/20/11,TMIN,56
USC00367477,08/18/14,TMAX,250
USC00368469,06/16/07,TMIN,117
USC00362629,01/14/08,TMAX,39
USC00367409,02/22/07,TMAX,106
USC00367477,10/13/12,TMIN,-50
USC00360147,08/18/14,TMAX,239
USC00368469,06/06/07,TMAX,206
USC00368469,06/24/08,TMIN,128
USC00360147,11/08/12,TMAX,61
USC00367477,10/13/12,TMAX,106
USC00360147,08/18/14,TMIN,122
USC00365790,03/26/07,TMAX,150
USC00360147,11/08/12,TMIN,-39
USC00365109,12/26/07,TMAX,44
USC00365109,03/30/14,TMIN,-11
USC00361480,10/05/14,TMIN,-17
USC00367409,10/15/06,TMAX,111
USC00367409,10/22/08,TMIN,33
USC00367409,10/15/06,TMIN,-17
USC00367477,08/18/14,TMIN,106
USC00367477,06/16/08,TMAX,261
USC00365790,11/28/10,TMAX,6
USC00367477,11/21/14,TMAX,-28
USC00367409,10/22/08,TMAX,117
USC00368449,04/25/10,TMIN,61
USC00367477,03/25/07,TMIN,11
USC00365790,11/28/10,TMIN,-17
USC00362629,01/14/08,TMIN,-44
USC00362629,06/30/06,TMIN,128
USC00367409,08/18/14,TMIN,128
